shipment_id,supplier_id,warehouse_name,shipment_date,delivery_date,quantity_shipped,transportation_cost,shipment_status,product_category
45,460,Ware House C,2026-05-10,2026-05-17,19,9046,Cancelled,FMCG
46,212,Ware House C,2026-06-03,2026-06-10,69,6036,Delayed,Pharma
47,100,Ware House C,2026-05-12,2026-05-19,57,2217,Delivered,Pharma
48,93,Ware House D,2026-05-12,2026-05-14,98,1188,Delivered,Automotive
49,187,Ware House E,2026-05-15,2026-05-21,70,3369,Cancelled,Electronics
50,39,Ware House A,2026-05-24,2026-05-31,39,7943,Delayed,Pharma
51,56,Ware House A,2026-05-31,2026-06-04,72,6790,Delayed,FMCG
52,36,Ware House E,2026-05-07,2026-05-15,61,9130,Delayed,Electronics
53,28,Ware House A,2026-05-23,2026-05-24,8,1048,Cancelled,Automotive
54,273,Ware House A,2026-05-19,2026-05-24,68,4704,Delivered,Electronics
55,179,Ware House C,2026-05-26,2026-06-03,52,3331,Delivered,FMCG
56,108,Ware House C,2026-05-13,2026-05-14,76,8592,Delayed,Pharma
57,453,Ware House D,2026-06-01,2026-06-06,22,7176,Delayed,FMCG
58,314,Ware House C,2026-05-30,2026-06-06,44,2149,Delivered,Industrial
59,401,Ware House C,2026-05-30,2026-06-03,98,9171,Cancelled,FMCG
60,468,Ware House E,2026-06-01,2026-06-05,88,9386,Cancelled,Automotive
61,478,Ware House A,2026-06-02,2026-06-12,48,2826,Delivered,FMCG
62,61,Ware House B,2026-05-19,2026-05-26,76,9868,Cancelled,Automotive
63,152,Ware House D,2026-05-30,2026-06-01,21,5799,Cancelled,Pharma
64,134,Ware House E,2026-05-26,2026-06-03,59,7291,Delayed,Electronics
65,288,Ware House D,2026-05-09,2026-05-14,10,957,Cancelled,Industrial
66,279,Ware House C,2026-05-07,2026-05-11,13,7728,Delayed,Industrial
67,39,Ware House E,2026-05-11,2026-05-21,17,4778,In Transit,FMCG
68,252,Ware House A,2026-05-22,2026-05-28,56,5364,Delayed,Automotive
69,231,Ware House D,2026-05-24,2026-05-31,100,7977,Delivered,Electronics
70,134,Ware House C,2026-05-20,2026-05-28,17,9757,Cancelled,Electronics
71,4,Ware House B,2026-05-23,2026-05-26,27,1210,Delayed,Industrial
72,166,Ware House A,2026-06-01,2026-06-06,75,4031,Delayed,Industrial
73,99,Ware House C,2026-05-13,2026-05-19,89,7483,In Transit,FMCG
74,11,Ware House A,2026-05-19,2026-05-28,56,1533,Delayed,FMCG
75,421,Ware House A,2026-05-13,2026-05-20,3,1948,Cancelled,Industrial
76,207,Ware House E,2026-05-19,2026-05-24,84,3877,Delivered,FMCG
77,472,Ware House B,2026-05-19,2026-05-22,24,7139,In Transit,Pharma
78,98,Ware House B,2026-05-22,2026-05-31,62,7502,Cancelled,Automotive
79,445,Ware House B,2026-05-28,2026-05-31,48,1795,Cancelled,Automotive
80,304,Ware House D,2026-05-31,2026-06-05,71,3721,In Transit,Automotive
81,104,Ware House D,2026-05-25,2026-06-02,10,2542,In Transit,FMCG
82,138,Ware House D,2026-06-04,2026-06-13,26,6475,Delivered,Industrial
83,211,Ware House A,2026-06-01,2026-06-02,63,5158,Delivered,Industrial
84,378,Ware House D,2026-06-03,2026-06-08,98,4136,In Transit,Automotive
85,389,Ware House C,2026-05-17,2026-05-24,13,1315,In Transit,FMCG
86,435,Ware House B,2026-05-22,2026-05-29,23,1164,In Transit,FMCG
87,13,Ware House A,2026-05-21,2026-05-28,51,6144,In Transit,Industrial
88,346,Ware House A,2026-05-06,2026-05-16,9,604,In Transit,Electronics
89,243,Ware House B,2026-05-30,2026-06-08,46,6209,Delivered,Automotive
90,184,Ware House D,2026-05-20,2026-05-29,65,9515,In Transit,Electronics
91,118,Ware House D,2026-06-01,2026-06-11,11,8809,Cancelled,FMCG
92,425,Ware House E,2026-05-14,2026-05-16,66,6858,In Transit,FMCG
93,253,Ware House D,2026-05-21,2026-05-27,61,1387,Delivered,Pharma
94,216,Ware House C,2026-05-25,2026-05-31,97,1940,In Transit,FMCG
95,403,Ware House A,2026-06-04,2026-06-08,79,3722,Cancelled,Electronics
96,111,Ware House A,2026-05-28,2026-06-02,9,6441,Cancelled,FMCG
97,206,Ware House B,2026-05-25,2026-05-29,67,3688,Delivered,Electronics
98,261,Ware House C,2026-05-23,2026-05-26,41,5908,Delivered,Industrial
99,113,Ware House E,2026-05-12,2026-05-13,11,579,Delayed,Automotive
100,370,Ware House A,2026-05-29,2026-06-05,28,5008,Cancelled,Industrial
101,184,Ware House E,2026-06-04,2026-06-05,44,7411,Delivered,Pharma
102,176,Ware House C,2026-06-03,2026-06-04,18,4959,Delivered,Electronics
103,355,Ware House C,2026-05-12,2026-05-20,97,5409,Cancelled,Industrial
104,492,Ware House A,2026-05-06,2026-05-07,23,4762,In Transit,Electronics
105,301,Ware House E,2026-06-01,2026-06-06,33,6146,Delayed,FMCG
106,297,Ware House D,2026-05-08,2026-05-09,83,4014,Delayed,Industrial
107,126,Ware House E,2026-05-28,2026-05-30,21,7454,Cancelled,Automotive
108,46,Ware House A,2026-05-25,2026-05-26,98,8447,In Transit,Pharma
109,133,Ware House E,2026-05-06,2026-05-08,5,4079,Delivered,Pharma
110,468,Ware House B,2026-05-28,2026-06-01,59,5852,In Transit,FMCG
111,317,Ware House B,2026-05-23,2026-05-31,28,3026,Delayed,Pharma
112,304,Ware House B,2026-05-23,2026-05-30,41,9529,Delivered,FMCG
113,475,Ware House E,2026-05-22,2026-05-24,52,5881,Delivered,Industrial
114,39,Ware House D,2026-05-17,2026-05-21,9,3660,Delivered,Electronics
115,392,Ware House E,2026-05-25,2026-05-26,99,9680,Delayed,Electronics
116,178,Ware House A,2026-05-15,2026-05-20,67,5652,Cancelled,Electronics
117,10,Ware House B,2026-05-22,2026-05-24,17,2224,In Transit,Electronics
118,99,Ware House D,2026-05-12,2026-05-20,40,6986,In Transit,Industrial
119,260,Ware House A,2026-05-22,2026-05-24,14,6471,Cancelled,Pharma
120,120,Ware House E,2026-05-17,2026-05-21,60,9990,In Transit,Electronics
121,419,Ware House E,2026-05-09,2026-05-15,39,1643,In Transit,Electronics
122,145,Ware House B,2026-06-03,2026-06-04,64,4978,In Transit,FMCG
123,439,Ware House B,2026-05-30,2026-06-08,1,9538,Cancelled,Automotive
124,37,Ware House B,2026-05-11,2026-05-19,93,2788,Cancelled,FMCG
125,179,Ware House A,2026-06-01,2026-06-11,42,5978,In Transit,Industrial
126,405,Ware House D,2026-06-02,2026-06-05,48,3298,In Transit,Automotive
127,473,Ware House A,2026-05-21,2026-05-22,63,9443,Delivered,Pharma
128,147,Ware House B,2026-06-02,2026-06-06,64,5009,In Transit,Electronics
129,127,Ware House D,2026-05-31,2026-06-10,13,8145,Cancelled,Automotive
130,479,Ware House B,2026-05-13,2026-05-18,89,8683,Cancelled,Pharma
131,152,Ware House D,2026-05-14,2026-05-21,69,8791,In Transit,Pharma
132,379,Ware House E,2026-05-08,2026-05-11,72,2059,Cancelled,FMCG
133,334,Ware House B,2026-05-15,2026-05-21,44,8561,Delivered,Industrial
134,399,Ware House B,2026-05-31,2026-06-01,71,7706,In Transit,Pharma
135,243,Ware House B,2026-05-16,2026-05-21,91,4058,Delivered,Automotive
136,416,Ware House E,2026-05-15,2026-05-16,92,7981,In Transit,Industrial
137,320,Ware House C,2026-05-15,2026-05-16,71,3634,In Transit,Electronics
138,373,Ware House E,2026-05-26,2026-06-03,89,9709,Cancelled,FMCG
139,153,Ware House D,2026-05-12,2026-05-21,37,5366,In Transit,FMCG
140,466,Ware House E,2026-05-19,2026-05-26,80,8942,Delivered,FMCG
141,107,Ware House D,2026-05-09,2026-05-10,89,4378,In Transit,Industrial
142,59,Ware House C,2026-05-31,2026-06-09,93,772,Delayed,Pharma
143,285,Ware House A,2026-06-03,2026-06-04,32,7779,Delayed,Automotive
144,115,Ware House D,2026-05-29,2026-06-01,40,7544,In Transit,FMCG
145,276,Ware House A,2026-05-12,2026-05-18,59,9833,Delayed,Electronics
146,325,Ware House E,2026-05-10,2026-05-20,60,6907,In Transit,Electronics
147,223,Ware House C,2026-05-10,2026-05-18,39,4461,Delivered,Pharma
148,83,Ware House B,2026-05-25,2026-05-28,91,7632,Delivered,Electronics
149,138,Ware House D,2026-05-14,2026-05-21,100,5377,Delivered,FMCG
150,55,Ware House A,2026-05-22,2026-05-28,47,3627,In Transit,Pharma
151,405,Ware House D,2026-05-13,2026-05-20,13,5480,In Transit,Industrial
152,336,Ware House B,2026-05-21,2026-05-26,19,6959,Cancelled,Electronics
153,223,Ware House E,2026-05-09,2026-05-19,2,7231,Delivered,FMCG
154,94,Ware House C,2026-06-02,2026-06-09,29,9294,In Transit,Electronics
155,101,Ware House B,2026-05-15,2026-05-18,73,1538,Cancelled,Pharma
156,195,Ware House E,2026-05-26,2026-05-29,92,3124,In Transit,Electronics
157,95,Ware House A,2026-05-27,2026-06-04,76,3913,In Transit,Electronics
158,331,Ware House C,2026-05-19,2026-05-23,59,5974,In Transit,Pharma
159,477,Ware House A,2026-05-26,2026-05-31,42,1428,In Transit,Electronics
160,14,Ware House D,2026-05-13,2026-05-15,21,6685,Cancelled,Automotive
161,64,Ware House A,2026-05-12,2026-05-13,96,1766,Cancelled,Pharma
162,208,Ware House C,2026-05-19,2026-05-29,20,1972,Cancelled,Automotive
163,11,Ware House D,2026-05-12,2026-05-19,5,1935,Cancelled,Pharma
164,403,Ware House E,2026-05-08,2026-05-15,34,1589,Delivered,Pharma
165,377,Ware House D,2026-05-09,2026-05-13,77,4143,Delayed,Industrial
166,305,Ware House A,2026-05-29,2026-06-05,58,8693,Cancelled,Electronics
167,313,Ware House C,2026-05-18,2026-05-26,85,2943,Cancelled,Pharma
168,171,Ware House C,2026-05-07,2026-05-08,38,4086,In Transit,Industrial
169,478,Ware House E,2026-05-26,2026-05-30,17,7161,Delayed,Automotive
170,397,Ware House C,2026-05-22,2026-05-31,52,2018,In Transit,Automotive
171,148,Ware House A,2026-05-21,2026-05-26,87,1833,Delayed,Electronics
172,455,Ware House D,2026-05-29,2026-06-01,14,4146,Delayed,FMCG
173,62,Ware House C,2026-05-13,2026-05-20,41,3702,Delayed,Industrial
174,72,Ware House D,2026-05-07,2026-05-14,79,5798,In Transit,FMCG
175,123,Ware House B,2026-05-07,2026-05-08,20,3071,Delivered,Automotive
176,294,Ware House A,2026-05-24,2026-05-31,57,1810,Delayed,FMCG
177,363,Ware House C,2026-05-21,2026-05-27,98,9481,Cancelled,FMCG
178,90,Ware House D,2026-06-03,2026-06-05,31,9905,In Transit,Pharma
179,72,Ware House C,2026-05-28,2026-05-30,51,8693,Cancelled,Pharma
180,243,Ware House E,2026-05-25,2026-06-01,14,1743,Delivered,FMCG
181,467,Ware House B,2026-05-29,2026-05-30,54,272,Delivered,Automotive
182,28,Ware House B,2026-05-11,2026-05-17,22,4762,In Transit,Industrial
183,360,Ware House A,2026-05-21,2026-05-24,15,5973,In Transit,Industrial
184,95,Ware House E,2026-05-14,2026-05-18,26,4052,Cancelled,Electronics
185,70,Ware House D,2026-05-20,2026-05-23,5,1496,Cancelled,Pharma
186,321,Ware House D,2026-06-02,2026-06-04,15,8343,Cancelled,Automotive
187,463,Ware House C,2026-05-17,2026-05-20,60,1439,Delayed,Pharma
188,379,Ware House C,2026-05-25,2026-06-02,18,7628,Delayed,Automotive
189,369,Ware House B,2026-05-22,2026-05-25,83,6941,Delivered,Industrial
190,466,Ware House E,2026-05-30,2026-06-07,88,9294,Cancelled,Pharma
191,60,Ware House B,2026-05-20,2026-05-29,9,9533,In Transit,Industrial
192,309,Ware House E,2026-05-19,2026-05-20,63,2389,Cancelled,Industrial
193,72,Ware House C,2026-06-02,2026-06-08,39,5100,In Transit,Industrial
194,397,Ware House D,2026-05-29,2026-06-03,78,2479,Cancelled,Automotive
195,477,Ware House D,2026-05-21,2026-05-31,9,6810,Delayed,Pharma
196,445,Ware House A,2026-06-03,2026-06-08,32,1512,Delivered,Industrial
197,484,Ware House A,2026-05-22,2026-05-25,58,3937,Delivered,Pharma
198,178,Ware House D,2026-05-09,2026-05-16,14,404,In Transit,Pharma
199,418,Ware House A,2026-05-19,2026-05-28,100,2835,Delivered,Electronics
200,196,Ware House D,2026-05-27,2026-06-05,83,7542,Delivered,Industrial
201,434,Ware House E,2026-06-01,2026-06-08,58,4936,Cancelled,Industrial
202,9,Ware House A,2026-05-19,2026-05-28,54,2460,In Transit,FMCG
203,445,Ware House B,2026-05-12,2026-05-20,47,6570,Cancelled,Pharma
204,391,Ware House D,2026-05-24,2026-06-03,1,8362,In Transit,Electronics
205,65,Ware House A,2026-05-31,2026-06-07,73,6140,Cancelled,Pharma
206,322,Ware House B,2026-06-01,2026-06-03,43,3061,Delayed,Automotive
207,233,Ware House D,2026-06-03,2026-06-11,1,3600,Delayed,FMCG
208,479,Ware House B,2026-05-18,2026-05-21,50,5176,Delayed,Industrial
209,335,Ware House E,2026-05-06,2026-05-15,47,6999,Cancelled,Pharma
210,303,Ware House E,2026-05-23,2026-05-28,31,5232,Delivered,Pharma
211,209,Ware House C,2026-05-25,2026-06-02,82,2838,Delivered,Automotive
212,160,Ware House C,2026-05-13,2026-05-20,63,5409,Cancelled,Automotive
213,257,Ware House B,2026-05-12,2026-05-21,92,559,Cancelled,Electronics
214,31,Ware House B,2026-05-06,2026-05-09,71,6817,Delayed,Pharma
215,398,Ware House B,2026-05-08,2026-05-17,44,5143,Delivered,Pharma
216,331,Ware House B,2026-05-19,2026-05-24,10,8345,Delivered,Electronics
217,157,Ware House B,2026-05-13,2026-05-17,16,8984,In Transit,FMCG
218,251,Ware House C,2026-05-21,2026-05-23,30,7119,Delayed,FMCG
219,468,Ware House B,2026-05-10,2026-05-19,55,9149,Cancelled,FMCG
220,76,Ware House C,2026-05-19,2026-05-21,7,4969,Cancelled,Automotive
221,106,Ware House D,2026-05-10,2026-05-16,47,6930,Cancelled,Industrial
222,111,Ware House A,2026-05-10,2026-05-16,70,7318,Delivered,Industrial
223,29,Ware House C,2026-05-22,2026-06-01,58,585,Delayed,FMCG
224,257,Ware House D,2026-05-19,2026-05-23,45,4104,Delayed,Pharma
225,302,Ware House C,2026-05-08,2026-05-11,15,8945,In Transit,FMCG
226,428,Ware House C,2026-05-09,2026-05-10,57,889,In Transit,FMCG
227,108,Ware House B,2026-05-23,2026-05-30,88,6338,Cancelled,Automotive
228,342,Ware House A,2026-05-10,2026-05-20,14,8839,Delivered,Industrial
229,291,Ware House E,2026-05-08,2026-05-13,99,6625,Cancelled,FMCG
230,103,Ware House A,2026-05-06,2026-05-09,86,6788,Delayed,Automotive
231,23,Ware House B,2026-05-30,2026-06-04,63,6557,In Transit,Industrial
232,486,Ware House D,2026-05-22,2026-05-24,45,346,Delayed,Industrial
233,125,Ware House E,2026-05-17,2026-05-19,12,6160,Delayed,Pharma
234,240,Ware House A,2026-05-26,2026-06-05,67,8226,Delayed,Pharma
235,291,Ware House D,2026-05-28,2026-06-04,39,8248,Delayed,Industrial
236,332,Ware House C,2026-05-30,2026-06-03,92,2623,Delivered,Electronics
237,91,Ware House B,2026-05-30,2026-06-06,91,2305,Delayed,Automotive
238,485,Ware House B,2026-05-17,2026-05-21,49,2611,Cancelled,Electronics
239,257,Ware House D,2026-05-09,2026-05-13,63,6885,In Transit,FMCG
240,282,Ware House A,2026-05-13,2026-05-14,96,8973,Delivered,FMCG
241,202,Ware House E,2026-05-24,2026-05-26,16,5052,In Transit,Industrial
242,218,Ware House C,2026-06-04,2026-06-05,55,6753,Delayed,Electronics
243,218,Ware House E,2026-05-06,2026-05-15,28,6498,Cancelled,Automotive
244,61,Ware House B,2026-05-31,2026-06-02,18,5142,Delayed,Automotive
245,213,Ware House D,2026-05-13,2026-05-23,36,5925,Delayed,Automotive
246,393,Ware House B,2026-05-09,2026-05-13,10,5435,Delayed,Industrial
247,447,Ware House A,2026-05-22,2026-05-26,97,3095,Cancelled,Industrial
248,294,Ware House A,2026-05-25,2026-06-02,9,8304,Delayed,Electronics
249,444,Ware House D,2026-05-21,2026-05-30,66,8299,Cancelled,Industrial
250,306,Ware House D,2026-05-26,2026-05-31,68,2356,Cancelled,FMCG
251,416,Ware House B,2026-05-20,2026-05-27,30,4057,Cancelled,Electronics
252,118,Ware House D,2026-05-13,2026-05-17,39,9717,Cancelled,Industrial
253,293,Ware House B,2026-05-06,2026-05-15,73,3857,Cancelled,Automotive
254,447,Ware House A,2026-05-25,2026-06-03,5,681,Delayed,Electronics
255,409,Ware House A,2026-06-03,2026-06-04,48,8253,Delayed,Automotive
256,19,Ware House B,2026-05-06,2026-05-14,77,8901,In Transit,Automotive
257,482,Ware House B,2026-05-24,2026-05-28,20,3338,Delayed,Electronics
258,328,Ware House C,2026-05-22,2026-05-30,5,4622,In Transit,Electronics
259,310,Ware House C,2026-05-22,2026-05-28,58,3781,In Transit,FMCG
260,160,Ware House C,2026-05-24,2026-05-31,64,4432,In Transit,Pharma
261,93,Ware House D,2026-05-31,2026-06-09,7,9478,Delayed,Pharma
262,55,Ware House D,2026-05-11,2026-05-14,72,6390,In Transit,Pharma
263,256,Ware House D,2026-05-21,2026-05-28,10,9985,In Transit,Electronics
264,351,Ware House E,2026-05-26,2026-05-29,13,6978,Cancelled,Automotive
265,199,Ware House D,2026-05-30,2026-06-03,100,8495,Delayed,Automotive
266,214,Ware House A,2026-05-30,2026-06-06,93,5119,In Transit,Automotive
267,108,Ware House E,2026-05-10,2026-05-11,46,9075,In Transit,Industrial
268,217,Ware House E,2026-05-19,2026-05-22,44,5747,Delayed,Electronics
269,276,Ware House C,2026-06-04,2026-06-10,98,6122,In Transit,FMCG
270,130,Ware House A,2026-05-06,2026-05-09,95,8482,Delayed,FMCG
271,47,Ware House A,2026-05-10,2026-05-13,69,1385,In Transit,Electronics
272,165,Ware House E,2026-05-16,2026-05-25,52,6125,Delivered,FMCG
273,194,Ware House A,2026-05-22,2026-05-25,68,6554,In Transit,FMCG
274,494,Ware House A,2026-05-08,2026-05-13,91,3466,Delayed,FMCG
275,464,Ware House D,2026-06-03,2026-06-06,32,8288,In Transit,Automotive
276,212,Ware House B,2026-05-19,2026-05-28,51,6132,Delayed,Pharma
277,264,Ware House B,2026-05-29,2026-06-01,72,845,Cancelled,FMCG
278,453,Ware House C,2026-05-24,2026-06-02,25,6715,Delivered,Pharma
279,183,Ware House E,2026-05-08,2026-05-13,61,3835,Cancelled,Electronics
280,169,Ware House B,2026-05-21,2026-05-26,26,4179,Cancelled,Automotive
281,113,Ware House D,2026-05-25,2026-05-26,44,7800,Cancelled,FMCG
282,192,Ware House C,2026-05-10,2026-05-11,55,5871,In Transit,Automotive
283,415,Ware House A,2026-05-10,2026-05-15,58,1645,Cancelled,FMCG
284,276,Ware House D,2026-05-27,2026-05-31,78,9161,Delivered,Industrial
285,137,Ware House D,2026-05-19,2026-05-26,30,6194,Delivered,Electronics
286,283,Ware House D,2026-05-19,2026-05-26,1,4224,Delivered,Pharma
287,386,Ware House D,2026-05-15,2026-05-22,12,3696,Delivered,Electronics
288,201,Ware House E,2026-05-30,2026-06-09,46,2605,Cancelled,Pharma
289,233,Ware House D,2026-06-04,2026-06-05,98,5369,Cancelled,Industrial
290,177,Ware House C,2026-05-26,2026-06-01,36,4765,Delayed,Pharma
291,266,Ware House A,2026-05-18,2026-05-27,11,9897,In Transit,Automotive
292,144,Ware House A,2026-05-30,2026-05-31,100,8136,In Transit,FMCG
293,226,Ware House C,2026-06-02,2026-06-05,47,7000,Delivered,Pharma
294,362,Ware House C,2026-05-12,2026-05-19,48,1128,Delivered,Electronics
295,274,Ware House E,2026-05-31,2026-06-02,38,6337,Delayed,Automotive
296,154,Ware House D,2026-05-15,2026-05-17,8,6429,Delivered,Industrial
297,80,Ware House B,2026-05-15,2026-05-22,96,3443,Delayed,Pharma
298,288,Ware House B,2026-05-19,2026-05-27,51,7626,Delivered,FMCG
299,305,Ware House D,2026-05-26,2026-05-27,53,6360,In Transit,FMCG
300,16,Ware House B,2026-05-20,2026-05-26,72,4030,Delivered,Automotive
301,312,Ware House D,2026-05-27,2026-05-31,97,8149,Delivered,Automotive
302,60,Ware House A,2026-06-01,2026-06-03,90,1663,Delivered,FMCG
303,465,Ware House B,2026-05-17,2026-05-19,1,9362,Delayed,Automotive
304,398,Ware House B,2026-06-02,2026-06-07,64,6071,Delayed,Electronics
305,327,Ware House B,2026-05-21,2026-05-25,24,3564,Delayed,Industrial
306,299,Ware House A,2026-05-09,2026-05-16,66,5253,Delayed,Industrial
307,194,Ware House B,2026-05-23,2026-06-02,98,2206,In Transit,Pharma
308,215,Ware House E,2026-05-30,2026-06-08,92,4766,Delivered,Pharma
309,484,Ware House E,2026-05-28,2026-06-01,70,497,Delayed,Industrial
310,192,Ware House E,2026-06-01,2026-06-08,67,1411,Delivered,Industrial
311,247,Ware House C,2026-05-31,2026-06-05,78,1275,In Transit,FMCG
312,83,Ware House E,2026-05-21,2026-05-22,15,195,In Transit,Automotive
313,290,Ware House D,2026-05-22,2026-05-26,81,3499,Cancelled,FMCG
314,468,Ware House D,2026-05-23,2026-05-24,51,4631,Cancelled,Pharma
315,489,Ware House D,2026-05-18,2026-05-19,13,6892,In Transit,FMCG
316,266,Ware House E,2026-05-21,2026-05-22,12,3511,In Transit,Automotive
317,473,Ware House C,2026-05-26,2026-05-29,49,6244,Delivered,Industrial
318,412,Ware House D,2026-05-11,2026-05-15,28,1876,Delivered,Automotive
319,62,Ware House A,2026-05-23,2026-05-31,80,7348,Cancelled,Pharma
320,112,Ware House D,2026-05-12,2026-05-13,73,2761,Cancelled,FMCG
321,265,Ware House D,2026-05-28,2026-05-29,97,6307,Delivered,Electronics
322,371,Ware House D,2026-06-04,2026-06-10,69,4025,Delivered,Automotive
323,207,Ware House C,2026-05-24,2026-05-30,92,3211,Delivered,Industrial
324,16,Ware House E,2026-05-10,2026-05-16,78,5057,Cancelled,Pharma
325,360,Ware House D,2026-05-13,2026-05-16,95,6842,Cancelled,Industrial
326,373,Ware House B,2026-05-08,2026-05-17,73,7023,In Transit,Pharma
327,97,Ware House C,2026-05-07,2026-05-12,98,2000,Cancelled,Electronics
328,84,Ware House B,2026-05-14,2026-05-22,13,375,In Transit,Pharma
329,378,Ware House E,2026-05-26,2026-05-28,97,3305,Cancelled,Pharma
330,90,Ware House C,2026-05-13,2026-05-14,86,8633,Delivered,Automotive
331,95,Ware House D,2026-05-19,2026-05-20,13,9039,In Transit,Electronics
332,338,Ware House B,2026-05-06,2026-05-10,66,9990,In Transit,Automotive
333,241,Ware House D,2026-05-24,2026-05-31,71,906,Cancelled,Industrial
334,118,Ware House D,2026-05-28,2026-06-07,48,1970,Delivered,Electronics
335,496,Ware House E,2026-05-25,2026-05-31,54,6205,In Transit,Electronics
336,321,Ware House E,2026-06-02,2026-06-09,62,5657,Delayed,Automotive
337,366,Ware House C,2026-05-08,2026-05-18,56,9325,Cancelled,Electronics
338,297,Ware House E,2026-05-24,2026-05-27,21,2274,Delayed,Automotive
339,303,Ware House D,2026-05-22,2026-05-23,64,3770,Delayed,Automotive
340,331,Ware House B,2026-05-11,2026-05-19,35,5115,In Transit,Automotive
341,322,Ware House A,2026-05-20,2026-05-26,70,7642,Cancelled,Automotive
342,144,Ware House E,2026-05-30,2026-06-06,40,7697,Delayed,Electronics
343,430,Ware House A,2026-05-11,2026-05-20,31,472,Delayed,Automotive
344,491,Ware House D,2026-05-30,2026-05-31,73,7436,Delayed,Pharma
345,385,Ware House C,2026-05-27,2026-05-30,38,9713,In Transit,Industrial
346,411,Ware House D,2026-05-06,2026-05-11,15,9954,In Transit,Electronics
347,282,Ware House B,2026-05-07,2026-05-16,40,8844,Cancelled,FMCG
348,282,Ware House E,2026-05-27,2026-06-04,62,3120,Delivered,FMCG
349,299,Ware House A,2026-05-20,2026-05-27,34,3179,Delayed,Automotive
350,269,Ware House A,2026-05-06,2026-05-13,83,6814,Cancelled,Electronics
351,82,Ware House D,2026-05-16,2026-05-21,68,7962,Cancelled,Automotive
352,43,Ware House B,2026-05-19,2026-05-28,67,8456,Cancelled,Automotive
353,334,Ware House C,2026-05-28,2026-06-04,99,633,Delayed,Pharma
354,331,Ware House B,2026-05-20,2026-05-24,99,5872,Cancelled,Electronics
